,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
120,Taj Gibson,NYK,36,5,1,4,27.6,102.2,105.5,-3.3,4.3,1.33,14.8,9.9,13.5,11.6,11.1,60,61.2,7,95.38,8.7,275
120,Tristan Thompson,BOS,30,5,1,4,26.4,108.3,140.8,-32.4,6.3,1,9.6,18.6,20.6,19.4,9.6,58.8,62.7,14.5,96.02,11,264
120,Tyus Jones,MEM,25,5,1,4,9.3,112.1,94.9,17.2,16.7,0,25,1.8,11.3,6.4,0,38.2,41.9,16.1,101.28,9.2,99
120,Vlatko Cancar,DEN,24,5,1,4,4.2,118.6,93.2,25.4,7.7,1,14.3,0,11.5,6.4,14.3,116.7,105.8,12.5,100.38,16.9,43
120,Zeke Nnaji,DEN,20,5,1,4,3.5,115.8,89.7,26,20,0,18.2,5.3,4.3,4.8,0,68.8,67.6,20.9,104.7,14.2,38
169,Andre Iguodala,MIA,37,4,0,4,17.8,101.3,116.3,-15,9.8,1,23.8,3.9,11.7,7.8,23.8,68.2,68.2,9.5,102.24,5.9,150
169,Anthony Gill,WAS,28,4,1,3,8.2,87.1,113.2,-26.1,0,0,0,2.7,10.3,6.1,50,0,0,7.2,100.67,-10.4,70
169,Axel Toupane,MIL,28,4,4,0,2.4,89.5,115.8,-26.3,0,0,0,16.7,22.2,19,0,62.5,62.5,17.4,93.38,16,19
169,Bam Adebayo,MIA,23,4,0,4,34,94.2,111,-16.7,23,1.55,18.9,8.9,15.2,12,12.2,45.6,49.4,22.7,103.53,11.5,294
169,Ben McLemore,LAL,28,4,1,3,8.9,87.8,102.7,-14.9,5,1,9.1,2.4,16.2,8.9,9.1,33.3,33.3,12,98.73,1.4,74
169,Boban Marjanovic,DAL,32,4,1,3,20.8,115.2,120.6,-5.4,7.4,1,7.8,15.6,23.7,19.3,7.8,51.3,54.7,23.4,96.73,10.3,171
169,Cam Reddish,ATL,21,4,1,3,23,111.3,112.4,-1.1,12.5,1.4,14,1.1,12.9,7.2,10,65.3,66.8,19.6,100.93,12.1,194
169,Davis Bertans,WAS,28,4,1,3,26.5,109.6,124.3,-14.8,1.2,1,3.1,0,10.3,4.8,3.1,55.6,61.5,11.7,104.21,4.5,230
169,Dewayne Dedmon,MIA,31,4,0,4,14.3,104.4,126.8,-22.4,9.7,0.5,10.3,11.8,19.6,15.1,20.7,58.3,61.9,19.1,99.31,7.4,114
169,Duncan Robinson,MIA,27,4,0,4,24.9,89.5,105.7,-16.2,5.6,0.75,7.5,0,10.4,4.8,10,55.2,61.4,15.8,101.17,6.6,210
169,Goran Dragic,MIA,35,4,0,4,29.2,94.7,108.6,-13.9,18.3,1.83,14.3,0.7,5.1,2.7,7.8,50.9,54,23.8,100.33,8.7,244
169,Isaac Bonga,WAS,21,4,1,3,2.4,73.7,63.2,10.5,0,0,0,0,0,0,0,0,0,21.7,95.9,-64.3,19
169,Isaiah Joe,PHI,21,4,4,0,2.4,58.8,84.2,-25.4,33.3,0,25,0,0,0,0,33.3,33.3,15,91.56,-9.5,17
169,JaVale McGee,DEN,33,4,1,3,8.5,120,102.6,17.4,10.7,3,17.6,7.3,21.4,14.5,5.9,30,31.6,16.3,108.56,6.3,75
169,Jabari Parker,BOS,26,4,0,4,14.8,116,100.8,15.1,6.1,0.33,6.1,3.6,18.1,11.8,18.2,66.7,69.3,22.8,97.28,12.7,119
169,Jimmy Butler,MIA,31,4,0,4,38.5,94.8,120.6,-25.8,31.1,3.11,25.2,3.2,14.8,8.6,8.1,32.8,39.4,22.9,101.2,8.6,324
169,Kendrick Nunn,MIA,25,4,0,4,23.3,93.6,114.9,-21.3,10.9,2,11.3,0,5.7,3,5.7,45.3,46.7,21.7,104.08,5.6,203
169,Markieff Morris,LAL,31,4,1,3,9.5,89.2,120.8,-31.6,15.8,1.5,17.6,8.5,0,5.1,11.8,27.8,38.7,15.4,92.29,-2.4,74
169,Montrezl Harrell,LAL,27,4,0,4,9.8,84.1,100,-15.9,0,0,0,10.2,12.2,11.1,10.5,57.1,64,20.9,100.14,16.9,82
169,Romeo Langford,BOS,21,4,1,3,27.2,117.4,117.2,0.2,6.7,5,12.5,4.2,4.8,4.5,2.5,50,53.3,13.4,96.97,6.6,219
169,Talen Horton-Tucker,LAL,20,4,1,3,12.1,92.8,107.2,-14.4,10.5,0.67,6.5,3.6,24,13.2,9.7,47.9,49.6,26.4,96.21,13.2,97
169,Trent Forrest,UTA,23,4,1,3,2.4,52.4,121.1,-68.7,0,0,0,0,0,0,0,50,50,16,100.72,7.8,21
169,Trevor Ariza,MIA,36,4,0,4,24,85.4,107.7,-22.3,3.6,0.67,7.1,1.7,19.6,10.2,10.7,41.3,41.3,11.6,103.23,5,205
169,Tyler Herro,MIA,21,4,0,4,23.2,100,118.2,-18.2,11.9,2.33,13.7,1,12.2,6.5,5.9,39.5,45,19.6,102.4,7.1,198
193,Bol Bol,DEN,21,3,1,2,2,100,84.6,15.4,50,0,66.7,0,20,11.1,0,0,0,9.1,97.08,9.1,11
193,Donte DiVincenzo,MIL,24,3,3,0,23.3,98,91.9,6.1,15.4,1.33,26.7,2.4,21.8,11.9,20,25,25,12.3,103.54,6.3,152
193,Frank Ntilikina,NYK,22,3,0,3,1.2,83.3,44.4,38.9,0,0,0,0,0,0,0,0,0,14.3,101.98,-33.3,6
193,Gabe Vincent,MIA,25,3,0,3,4.7,79.3,89.3,-10,28.6,2,33.3,0,5.3,3.2,16.7,83.3,83.3,12.9,96.68,13.6,29
193,Garrison Mathews,WAS,24,3,0,3,5.7,85.3,97.1,-11.8,0,0,0,0,13.3,5.1,0,0,32.3,13.3,96.65,-9.1,34
193,Kemba Walker,OKC,31,3,1,2,30.3,106.4,135.3,-28.9,20.3,1.5,18.5,0,15,6.7,12.3,35.4,41.9,24.5,98.78,4.2,187
193,Matt Thomas,UTA,26,3,1,2,2.3,64.3,114.3,-50,0,0,0,0,14.3,7.1,0,0,0,13.3,97.86,-10,14
193,Nassir Little,POR,21,3,1,2,3,89.5,90,-0.5,0,0,0,0,9.1,4.3,14.3,37.5,43.4,29.2,102.46,1.7,19
193,Nicolo Melli,DAL,30,3,2,1,6.4,91.9,145.7,-53.8,0,0,0,8.3,30.8,16.2,0,0,0,8.3,89.9,-1.4,37
193,Paul Reed,PHI,22,3,3,0,3.5,85.7,85.7,0,0,0,0,27.3,41.7,34.8,0,50,50,16.7,96,45.7,21
193,Precious Achiuwa,MIA,21,3,0,3,4.1,79.2,76,3.2,0,0,0,0,33.3,21.4,40,75,60.8,38.5,95.87,15.2,24
193,Robert Williams III,BOS,23,3,1,2,15.2,118.9,106.5,12.5,6.9,2,11.1,18.2,12.3,14.9,5.6,64.3,63.8,15,98.88,13.7,95
193,T.J. Leaf,POR,24,3,1,2,2.5,100,100,0,0,0,0,20,12.5,16.7,0,75,75,19,102.61,24.6,16
193,Tremont Waters,BOS,23,3,0,3,2,80,68.8,11.3,66.7,1,22.2,0,0,0,22.2,25,37.6,46.7,125.78,4.8,15
193,Will Barton,DEN,30,3,0,3,27.7,115.5,114.9,0.7,13.8,2,14,1.1,16,7.7,7,52.3,54.7,24.5,100.79,11,174
193,Xavier Tillman,MEM,22,3,1,2,5.9,82.9,120,-37.1,8.3,1,14.3,4.3,10.5,7.1,14.3,20,20,13.6,109.73,-0.8,41
209,Alfonzo McKinnie,LAL,28,2,0,2,5.8,84,80.8,3.2,0,0,0,0,5.9,2.9,0,0,0,11.1,105.12,-8.5,25
209,Brandon Clarke,MEM,24,2,0,2,4.7,94.7,55.6,39.2,0,0,0,0,9.1,4.3,0,50,50,9.5,93.8,11.6,19
209,CJ Elleby,POR,21,2,1,1,4,100,94.1,5.9,14.3,1,33.3,10,20,15,33.3,0,0,9.1,102,5.5,17
209,Carsen Edwards,BOS,23,2,0,2,2.7,85.7,78.6,7.1,0,0,0,0,14.3,7.7,0,83.3,83.3,21.4,124.1,25,14
209,Chandler Hutchison,WAS,25,2,0,2,9.1,63.9,97.4,-33.5,16.7,1,12.5,0,18.8,7.1,12.5,40,51,14.9,99.19,14.1,36
209,Derrick Jones Jr.,POR,24,2,1,1,5.2,140.9,118.2,22.7,0,0,0,0,0,0,0,40,40,19.2,100.89,0,22
209,Elfrid Payton,NYK,27,2,1,1,6.5,66.7,96.4,-29.8,14.3,0,14.3,0,0,0,0,0,8.5,20.7,101.02,-10.3,27
209,Jared Dudley,LAL,35,2,0,2,2.5,66.7,80,-13.3,0,0,0,0,0,0,0,0,0,0,92.87,0,9
209,Jarrell Brantley,UTA,25,2,1,1,1.7,12.5,57.1,-44.6,0,0,0,0,20,10,33.3,0,26.6,33.3,104.85,-200,8
