 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
94,Tracy McGrady,SAS,34,6,4,2,5.2,108.6,72.4,36.2,25.9,3.5,43.8,3.2,18.4,11.6,12.5,0,0,13,89.05,9.5,58
94,Ty Lawson,DEN,25,6,2,4,39.4,101.2,111.5,-10.3,35.8,3.69,26.1,1.9,7.5,4.3,7.1,45.9,51.8,24.4,98.48,13.9,483
94,Wilson Chandler,DEN,26,6,2,4,34.2,103.8,104.4,-0.6,5.8,1.14,8.2,2.2,15.1,8,7.2,41.4,44.3,18.3,99.8,5.1,424
135,Anthony Randolph,DEN,23,5,2,3,6,114.1,116.7,-2.6,0,0,0,0,25,11.8,11.8,81.8,82.1,24.6,104.73,21.2,64
135,Carlos Delfino,HOU,30,5,2,3,24.1,97.1,111.5,-14.3,15.2,2,17.9,0.8,8.9,4.7,8.9,51.3,53.9,16.5,97.29,7.8,244
135,Dahntay Jones,ATL,32,5,1,4,3.8,82.5,81,1.5,0,0,0,0,4,2.2,16.7,25,41,14,103.89,0,40
135,Greg Smith,HOU,22,5,2,3,11.8,84.1,134.4,-50.2,0,0,0,10.4,13.3,11.6,21.1,66.7,63,13.1,104.67,3.7,126
135,Jon Leuer,MEM,24,5,1,4,2.3,95.7,108.7,-13,0,0,0,15.4,14.3,15,0,50,50,7.7,96.98,9.6,23
135,Jordan Crawford,BOS,24,5,1,4,11.8,85.5,92.9,-7.4,0,0,0,0,5.4,2.5,11.1,37,37.7,21.1,93.25,0,117
135,Kenneth Faried,DEN,23,5,1,4,28.9,107.1,105.5,1.6,1.1,0.2,2.4,7.7,22.6,14.5,11.9,62.5,66.1,11.9,97.02,10.2,294
135,Luol Deng,CHI,28,5,3,2,44.8,104.3,105.9,-1.6,13.2,1.58,16.1,2.5,15.3,9.1,10.2,38.7,39,20.9,90.05,6.6,419
135,Nando De Colo,SAS,26,5,4,1,2.9,87.1,82.8,4.3,22.2,0,28.6,14.3,12.5,13.3,0,25,41,14.3,100.58,11.4,31
135,Quentin Richardson,NYK,33,5,3,2,2.9,85.7,75,10.7,0,0,0,5.6,12.5,8.8,0,50,50,18.8,94.21,6.8,28
135,Ronny Turiaf,LAC,30,5,2,3,11.7,101.9,97.1,4.7,0,0,0,7.5,6.7,7.1,14.3,70,68,11.3,87.25,2.4,108
135,Ryan Hollins,LAC,28,5,2,3,7.5,117.5,92.6,24.9,7.7,1,15.4,10.3,4.5,6.8,15.4,55.6,55.7,12.9,103.61,0.4,80
135,Scott Machado,GSW,23,5,1,4,1.6,43.8,100,-56.3,100,1,20,0,14.3,4.8,20,50,52.1,22.2,104.68,4.9,16
135,Terrence Williams,BOS,26,5,2,3,9.6,75.8,85.4,-9.6,26.1,1.5,28.6,1.9,17,9.5,19,20,23,14.3,95.19,5,95
149,Amar'e Stoudemire,NYK,30,4,1,3,8.1,107.4,107.1,0.3,0,0,0,12.5,14.7,13.6,16.7,42.3,50.8,27.7,81.06,2.7,54
149,Antawn Jamison,LAL,37,4,0,4,19.7,84.3,114.4,-30.1,2.4,0.33,3.3,1.2,8.8,4.6,10,54.3,56.6,16.9,96.93,4,159
149,Aron Baynes,SAS,26,4,4,0,5.8,106.3,75.5,30.7,0,0,0,8.7,12,10.4,12.5,57.1,57.1,14,100.36,5.2,48
149,Austin Daye,MEM,25,4,1,3,5,117.1,147.5,-30.4,0,0,0,0,11.1,3.6,11.1,37.5,41.5,18.8,97.6,0.6,41
149,Brandon Jennings,MIL,23,4,0,4,33.3,96.5,112.5,-16.1,20,1.45,17.4,0.8,6.8,3.7,12,35.1,40.8,26.7,91.76,5.6,254
149,Courtney Lee,BOS,27,4,0,4,9.8,74.7,94.7,-20,5.6,0,12.5,0,4.9,2.6,0,20,44.4,8.5,91.97,3.9,75
149,Darius Morris,LAL,22,4,0,4,26.2,89.1,114.4,-25.2,20.3,2,21.4,0.9,4.4,2.5,10.7,50,53.9,19.3,94.04,7.4,202
149,DeShawn Stevenson,ATL,32,4,1,3,11.3,93.1,113.5,-20.4,3.2,0.5,12.5,7.3,14.6,11.2,25,90,90,7.3,93.71,6.5,87
149,Dwight Howard,LAL,27,4,0,4,31.6,91.7,112.1,-20.3,6.2,0.25,5.1,8.2,28,17.9,20.5,61.9,58.8,26.9,91.63,11,242
149,Earl Clark,LAL,25,4,0,4,20.4,82,118.8,-36.8,2.2,0.17,3.8,2.5,14.5,8,23.1,36.8,36.8,14.1,94.38,1.9,161
149,Ekpe Udoh,MIL,26,4,0,4,13.6,95.3,110.6,-15.3,2.8,0,10,5.8,6.7,6.2,0,44.4,44.4,7.6,92.68,4.6,106
149,Ersan Ilyasova,MIL,26,4,0,4,29.3,98.7,104,-5.3,10.1,1.17,11.9,8.3,19.4,13.2,10.2,47.8,49.1,19.8,92.11,11.1,226
149,Evan Fournier,DEN,20,4,1,3,13.3,93.8,100,-6.3,12.5,0.67,12.9,0,0,0,19.4,35.3,46.3,21.8,101.73,0.6,112
149,Hasheem Thabeet,OKC,26,4,2,2,6.4,92.7,105.5,-12.7,0,0,0,4.5,17.9,12,50,50,50,6.5,102.41,-2.3,55
149,Ish Smith,MIL,24,4,0,4,2.8,109.1,84,25.1,42.9,3,60,0,10,5.3,20,0,0,9.1,101.05,2.2,22
149,JJ Redick,MIL,29,4,0,4,17.3,86.6,110.6,-24,15.6,0.83,13.5,0,5.2,2.4,16.2,52,55.1,21.2,92.17,4.6,134
149,James White,NYK,30,4,4,0,2.3,105.6,83.3,22.2,0,0,0,11.1,11.1,11.1,0,50,50,20,93.37,8.3,18
149,Jeremy Lin,HOU,24,4,0,4,21,85.1,121.8,-36.7,16,1,19.5,0,9.9,4.6,19.5,29.2,32.2,16,102.94,-0.2,181
149,Jerry Stackhouse,BKN,38,4,1,3,7,81,94.7,-13.7,0,0,0,2.9,11.5,6.7,14.3,10,21.3,21.9,98.19,-9.1,58
149,John Henson,MIL,22,4,0,4,8.3,91.7,100,-8.3,5.6,0.5,7.1,0,28.6,13.8,14.3,27.3,27.3,20.3,88.9,2,60
149,John Jenkins,ATL,22,4,1,3,5.9,112.8,100,12.8,14.3,1.5,37.5,0,7.1,4.1,25,0,0,10,96.68,-2.3,47
149,Kirk Hinrich,CHI,32,4,3,1,40.5,101.9,98.4,3.5,20.9,2.88,31.5,0.6,6.1,3.4,11,48.6,52.1,14.1,92.08,7.8,311
149,Larry Sanders,MIL,24,4,0,4,28.2,88.3,107.9,-19.6,8.9,0.42,9.3,9.6,22.7,15.6,22.2,57.6,56.8,20.1,91.14,8.7,213
149,Luc Mbah a Moute,MIL,26,4,0,4,33.9,94.1,114.5,-20.3,8.1,1.4,15.9,3,9.1,5.7,11.4,43.5,53.4,12.5,90.67,5.5,256
149,Mike Dunleavy,MIL,32,4,0,4,22.9,90.8,111,-20.2,19,2.67,17.8,3.2,17.1,9.5,6.7,68.3,72.1,18.9,90.77,18.9,173
149,Mike Scott,ATL,24,4,1,3,5,95.2,90.7,4.5,10,0,7.7,5.3,21.4,14.9,0,50,55.3,26.7,101.07,19.5,42
149,Monta Ellis,MIL,27,4,0,4,37.9,92,108,-16,26.5,1.57,22.4,1.3,8.3,4.5,14.3,46.4,45.9,23.3,90.96,8.2,287
149,Pau Gasol,LAL,32,4,0,4,36.4,94.6,111.5,-16.9,32.1,2,27.4,4.9,26.9,16,13.7,48.1,49.3,22.2,91.66,15.6,278
149,Richard Hamilton,CHI,35,4,0,4,16.9,98.4,104,-5.6,15.2,1,12.8,0,5.2,2.3,12.8,42.6,45.2,22.4,90.23,4.5,129
149,Shelvin Mack,ATL,23,4,1,3,5.5,104.7,81.8,22.8,53.8,0,43.8,13,12.5,12.7,0,55.6,55.6,19.6,94.64,25.7,43
179,Andrew Goudelock,LAL,24,3,0,3,26.7,94.3,121.4,-27,6.5,0.75,6.8,1.1,5.9,3.2,9.1,47.2,48.8,22.8,95.38,5.4,159
179,Andris Biedrins,GSW,27,3,1,2,5.5,87.5,90.6,-3.1,8.3,1,50,18.2,22.7,21.2,50,0,0,2.9,92.61,2.3,32
179,Gustavo Ayon,MIL,28,3,0,3,2.5,120,66.7,53.3,0,0,0,0,0,0,0,50,50,26.7,96.64,6.8,15
179,Jordan Hill,LAL,25,3,0,3,10.2,100,111.3,-11.3,4.8,0,9.1,6.3,34.6,19,0,50,50,14.9,96.05,12.3,61
179,Malcolm Thomas,CHI,24,3,0,3,1.9,63.6,130,-66.4,0,0,0,26.7,0,21.1,0,50,35.7,21.1,88.37,0,11
179,Marcus Camby,NYK,39,3,1,2,1.1,28.6,125,-96.4,0,0,0,33.3,25,28.6,50,100,100,25,111.28,16.7,7
179,Marquis Daniels,MIL,32,3,0,3,11.1,83.8,111.8,-27.9,26.7,4,25,0,12.1,6.2,6.3,54.5,54.5,16.2,97.7,11,68
179,Metta World Peace,LAL,33,3,0,3,28.2,103.2,105.7,-2.5,8.3,1.67,13.5,7.1,5.8,6.4,8.1,28.6,31.2,17.7,89.24,1.6,157
179,Willie Green,LAC,31,3,1,2,6.5,115,117.5,-2.5,11.8,0,33.3,0,20,9.1,0,66.7,77.3,9.1,98.46,13.3,40
188,Chris Duhon,LAL,30,2,0,2,33.9,97.7,115.6,-17.8,14,1.4,30.4,1.6,3.3,2.4,21.7,50,50,10.8,94.75,2.6,133
188,Chris Wilcox,BOS,30,2,1,1,3.1,35.7,126.7,-91,0,0,0,0,40,16.7,0,0,0,0,110.83,11.8,14
188,Dwayne Jones,GSW,30,2,1,1,0.9,33.3,133.3,-100,0,0,0,0,0,0,0,0,0,0,151.98,0,6
188,James Anderson,HOU,24,2,0,2,8.9,79.5,113.2,-33.7,0,0,0,5,20,11.4,0,20,20,11.4,104.22,-0.9,39
188,Julyan Stone,DEN,24,2,1,1,6.4,125,87,38,14.3,0,50,0,0,0,0,0,113.6,3.8,88.75,0,24
188,Keith Bogans,BKN,33,2,1,1,11.4,102.3,104.8,-2.4,12.5,2,50,0,11.8,5.9,25,0,0,4.3,89.34,-1.6,43
188,Robert Sacre,LAL,24,2,0,2,2.1,77.8,20,57.8,0,0,0,0,33.3,20,0,0,0,11.1,107.72,66.7,9
188,Russell Westbrook,OKC,24,2,2,0,33.8,110.6,89.4,21.3,35.9,1.75,20.3,1.4,14.5,8.5,11.6,43.9,50.9,34.8,100.14,20,141
188,Steve Blake,LAL,33,2,0,2,37.5,92.2,108.5,-16.3,12.8,1.25,13.5,0,10.7,5.3,10.8,48.2,49.2,20.6,90.48,7.4,141
188,Steve Nash,LAL,39,2,0,2,30.4,91.3,96.5,-5.2,27.3,3,24.3,3.3,4.4,3.9,8.1,43.5,49.6,21.7,90.47,11.1,115
188,Terrence Jones,HOU,21,2,0,2,17.6,104.1,108.2,-4.2,4.2,1,7.7,10.4,28.6,18.1,7.7,40,35.3,13.8,100.51,7.5,74
188,Tyshawn Taylor,BKN,23,2,2,0,1.1,125,60,65,0,0,0,0,0,0,0,0,0,20,97.08,-12.5,4
200,Donatas Motiejunas,HOU,22,1,0,1,4.8,118.2,90,28.2,0,0,0,16.7,0,11.1,0,100,102.5,15.4,106.11,34.4,11
200,Grant Hill,LAC,40,1,0,1,20.1,120.5,127,-6.5,12.5,2,28.6,11.1,12.5,11.8,14.3,50,50,10.9,90.59,1.4,39
200,Jodie Meeks,LAL,25,1,0,1,19.5,74.4,102.6,-28.3,0,0,0,5.6,5,5.3,28.6,25,41,16.7,94.63,-1.1,39
200,Jordan Hamilton,DEN,22,1,0,1,1.9,50,0,50,0,0,0,0,0,0,0,0,0,25,99.31,-100,4
200,Mirza Teletovic,BKN,27,1,1,0,1.3,66.7,100,-33.3,0,0,0,0,0,0,0,0,0,0,109.37,0,3
200,Perry Jones III,OKC,21,1,1,0,4.8,90,118.2,-28.2,0,0,0,0,16.7,11.1,0,0,0,10,106.11,0,10
200,Ronnie Brewer,OKC,28,1,1,0,8.4,105.9,117.6,-11.8,0,0,0,0,10,5.9,0,0,0,0,97.14,0,17
200,Samuel Dalembert,MIL,33,1,0,1,9.1,80,105.3,-25.3,0,0,0,8.3,22.2,14.3,33.3,0,13.3,25,103.43,-30.6,20
200,Shavlik Randolph,BOS,29,1,0,1,3.2,0,28.6,-28.6,0,0,0,0,50,27.3,0,0,0,0,104.24,100,7
200,Vladimir Radmanovic,CHI,32,1,0,1,10.2,115.8,94.7,21.1,16.7,1,20,0,0,0,20,150,150,16.7,89.27,33.3,19
